"from_stop_id","to_stop_id","transfer_type","min_transfer_time","from_route_id","to_route_id","from_trip_id","to_trip_id"
000008600436,000571500202,2,300,,,,
000008600434,000008600434,2,360,,,,
000008600434,000541000701,2,600,,,,
000008600434,000541006102,2,300,,,,
000008600432,000008600432,2,120,,,,
000008600432,000541000701,2,840,,,,
000008600432,000541003301,2,300,,,,
000008600430,000008600430,2,120,,,,
000008600430,000505000701,2,300,,,,
000008600431,000008600431,2,360,,,,
000008601417,000008601417,2,120,,,,
000008601411,000008601411,2,120,,,,
000008601411,000000002035,2,180,,,,
000008601411,000000002047,2,180,,,,
000008601411,000000008117,2,180,,,,
000008601411,000000009403,2,240,,,,
000008601411,000000008541,2,180,,,,
000008603317,000008603317,2,120,,,,
000008603317,000000000871,2,1020,,,,
000008603317,000000000872,2,1440,,,,
000008603317,000000000888,2,1380,,,,
000008603317,000000030914,2,900,,,,
000008603317,000000030941,2,120,,,,
000008603317,000000030942,2,120,,,,
000008603317,000000053721,2,960,,,,
000008603315,000008603315,2,120,,,,
000008603315,000008600856,2,240,,,,
000008603315,000000046743,2,120,,,,
000008603315,000000030467,2,240,,,,
000008603315,000000030940,2,120,,,,
000008603315,000000029328,2,180,,,,
000008603315,000000054219,2,300,,,,
000008603312,000008603312,2,120,,,,
000008603313,000008603313,2,120,,,,
000008603313,000000000867,2,540,,,,
000008603313,000000000893,2,480,,,,
000008603310,000008603310,2,120,,,,
000008603310,000000027522,2,180,,,,
000008603310,000000027523,2,180,,,,
000008603311,000008603311,2,120,,,,
000008603311,000000045432,2,540,,,,
000008603311,000000000899,2,480,,,,
000008603311,000000000910,2,480,,,,
000008603311,000000027548,2,180,,,,
000008600768,000008600768,2,120,,,,
000008600768,000008600768,2,180,"16448_109","16452_109",,
000008600768,000000000049,2,240,,,,
000008600768,000000002265,2,240,,,,
000008600768,000000003768,2,240,,,,
000008600768,000000006321,2,240,,,,
000008600768,000000006325,2,240,,,,
000008600768,000000010671,2,240,,,,
000008600768,000000051473,2,720,,,,
000008600768,000000051474,2,720,,,,
000008600768,000008651768,2,240,,,,
000008600768,000008650768,2,240,,,,
000008600769,000008600769,2,300,,,,
000008600769,000000005227,2,480,,,,
000008600769,000000005061,2,180,,,,
000008600769,000000005123,2,540,,,,
000008600769,000000028123,2,540,,,,
000008600769,000008651769,2,180,,,,
000008600769,000008650769,2,180,,,,
000008600769,000000054314,2,480,,,,
000008600766,000008600766,2,120,,,,
000008600766,000000003843,2,180,,,,
000008600766,000000006777,2,180,,,,
000008600766,000000006795,2,180,,,,
000008600766,000000005075,2,540,,,,
000008600766,000000005110,2,600,,,,
000008600766,000000010283,2,240,,,,
000008600766,000008651766,2,180,,,,
000008600766,000008650766,2,180,,,,
000008600767,000008600767,2,120,,,,
000008600767,000000004703,2,360,,,,
000008600767,000000004704,2,660,,,,
000008600767,000000006772,2,180,,,,
000008600767,000000006954,2,240,,,,
000008600767,000000006955,2,180,,,,
000008600767,000000006956,2,300,,,,
000008600767,000008651767,2,240,,,,
000008600767,000008650767,2,300,,,,
000008600764,000008600764,2,120,,,,
000008600764,000000048260,2,120,,,,
000008600764,000000000418,2,180,,,,
000008600764,000000010202,2,180,,,,
000008600764,000000010828,2,180,,,,
000008600764,000000010831,2,180,,,,
000008600764,000008651764,2,120,,,,
000008600764,000008650764,2,120,,,,
000008600765,000008600765,2,120,,,,
000008600765,000000006915,2,180,,,,
000008600765,000000028399,2,180,,,,
000008600765,000008651765,2,180,,,,
000008600765,000008650765,2,180,,,,
000008600763,000008600763,2,120,,,,
000008600763,000000005087,2,240,,,,
000008600763,000000005098,2,240,,,,
000008600763,000008651763,2,240,,,,
000008600763,000008650763,2,240,,,,
000008600763,000000054057,2,180,,,,
000008600760,000008600760,2,120,,,,
000008600760,000000001314,2,300,,,,
000008600760,000000001545,2,240,,,,
000008600760,000000001591,2,180,,,,
000008600760,000000001592,2,360,,,,
000008600760,000000051573,2,240,,,,
000008600760,000008651760,2,240,,,,
000008600760,000008650760,2,180,,,,
000008600761,000008600761,2,120,,,,
000008600761,000000001188,2,240,,,,
000008600761,000000001225,2,240,,,,
000008600761,000008651761,2,240,,,,
000008600761,000008650761,2,240,,,,
000008601741,000008601741,2,120,,,,
000008600228,000008600228,2,360,,,,
000008600228,000561045112,2,300,,,,
000008600227,000008600227,2,120,,,,
000008600227,000561006902,2,480,,,,
000008600227,000561006901,2,480,,,,
000008600222,000008600222,2,120,,,,
000008600222,000559670101,2,300,,,,
000008600222,000559670102,2,300,,,,
000008600223,000008600223,2,300,,,,
000008600223,000575600102,2,240,,,,
000008600223,000575600108,2,240,,,,
000008600223,000575600106,2,240,,,,
000008600223,000575600104,2,240,,,,
000008600223,000575600101,2,240,,,,
000008600223,000575600105,2,240,,,,
000008600223,000575605002,2,300,,,,
000008600223,000575600103,2,240,,,,
000008600220,000008600220,2,120,,,,
000008600220,000557220001,2,300,,,,
000008600221,000008600221,2,120,,,,
000008600221,000569660201,2,300,,,,
000008602623,000008602623,2,120,,,,
000008602623,000000040163,2,120,,,,
000008602623,000000041609,2,180,,,,
000008602623,000000040931,2,240,,,,
000008602623,000000040957,2,240,,,,
000008602623,000000051417,2,120,,,,
000008602623,000000051418,2,180,,,,
000008602623,000000051419,2,180,,,,
000008602623,000000051420,2,180,,,,
000008602623,000000051421,2,180,,,,
000461011500,000461011500,2,240,,,,
000461011500,000461106900,2,60,,,,
000461011500,000461107000,2,180,,,,
000461011500,000461306400,2,180,,,,
